created_at,entry_id,field1,field2,field3
2021-08-18 01:55:29 UTC,1,1.07,,
2021-08-18 01:55:53 UTC,2,2.77,,
2021-08-18 01:56:16 UTC,3,4.17,,
2021-08-18 01:56:39 UTC,4,4.31,,
2021-08-18 01:57:03 UTC,5,5.31,,
2021-08-18 01:57:26 UTC,6,6.25,,
2021-08-18 01:57:50 UTC,7,7.79,,
2021-08-18 01:58:13 UTC,8,8.61,,
2021-08-18 01:58:37 UTC,9,9.67,,
2021-08-18 01:59:00 UTC,10,10.34,,
2021-08-18 01:59:23 UTC,11,10.66,,
2021-08-18 01:59:47 UTC,12,11.51,,
2021-08-18 02:00:10 UTC,13,12.06,,
2021-08-18 02:00:34 UTC,14,12.54,,
2021-08-18 02:00:57 UTC,15,16.34,,
2021-08-18 02:01:21 UTC,16,13.11,,
2021-08-18 02:01:44 UTC,17,14.7,,
2021-08-18 02:02:08 UTC,18,17.52,,
2021-08-18 02:02:31 UTC,19,15.61,,
2021-08-18 02:02:55 UTC,20,20.48,,
2021-08-18 02:04:47 UTC,21,,2.8,
2021-08-18 02:05:10 UTC,22,,21.23,
2021-08-18 02:05:33 UTC,23,,2.7,
2021-08-18 02:05:57 UTC,24,,21.61,
2021-08-18 02:06:20 UTC,25,,2.74,
2021-08-18 02:06:44 UTC,26,,21.32,
2021-08-18 02:07:07 UTC,27,,3.13,
2021-08-18 02:07:30 UTC,28,,19.71,
2021-08-18 02:07:54 UTC,29,,2.66,
2021-08-18 02:08:17 UTC,30,,19.19,
2021-08-18 02:08:41 UTC,31,,2.92,
2021-08-18 02:09:04 UTC,32,,17.93,
2021-08-18 02:09:28 UTC,33,,2.85,
2021-08-18 02:09:51 UTC,34,,18.9,
2021-08-18 02:10:15 UTC,35,,3.08,
2021-08-18 02:10:38 UTC,36,,19.61,
2021-08-18 02:11:01 UTC,37,,3.14,
2021-08-18 02:11:25 UTC,38,,17.8,
2021-08-18 02:11:48 UTC,39,,5.45,
2021-08-18 02:12:12 UTC,40,,17.9,
