created_at,entry_id,field1,field2,field3
2021-08-17 21:26:41 UTC,1,3.39,,
2021-08-17 21:27:00 UTC,2,3.86,,
2021-08-17 21:27:18 UTC,3,3.88,,
2021-08-17 21:27:37 UTC,4,3.89,,
2021-08-17 21:27:55 UTC,5,3.86,,
2021-08-17 21:28:14 UTC,6,3.93,,
2021-08-17 21:28:32 UTC,7,3.86,,
2021-08-17 21:28:51 UTC,8,3.86,,
2021-08-17 21:29:09 UTC,9,3.86,,
2021-08-17 21:29:28 UTC,10,3.84,,
2021-08-17 21:29:46 UTC,11,3.82,,
2021-08-17 21:30:05 UTC,12,3.84,,
2021-08-17 21:30:23 UTC,13,3.87,,
2021-08-17 21:30:42 UTC,14,3.36,,
2021-08-17 21:31:00 UTC,15,3.36,,
2021-08-17 21:32:06 UTC,16,,10.42,
2021-08-17 21:32:24 UTC,17,,10.26,
2021-08-17 21:32:43 UTC,18,,10.37,
2021-08-17 21:33:02 UTC,19,,10.42,
2021-08-17 21:33:20 UTC,20,,9.55,
2021-08-17 21:33:39 UTC,21,,10.37,
2021-08-17 21:33:57 UTC,22,,10.38,
2021-08-17 21:34:16 UTC,23,,10.4,
2021-08-17 21:34:34 UTC,24,,10.41,
2021-08-17 21:34:52 UTC,25,,10.34,
2021-08-17 21:35:11 UTC,26,,10.32,
2021-08-17 21:35:29 UTC,27,,10.38,
2021-08-17 21:35:48 UTC,28,,10.35,
2021-08-17 21:36:06 UTC,29,,10.8,
2021-08-17 21:36:25 UTC,30,,10.32,
2021-08-17 21:38:21 UTC,31,,,13.2
2021-08-17 21:38:45 UTC,32,,,13.58
2021-08-17 21:39:04 UTC,33,,,13.62
2021-08-17 21:39:22 UTC,34,,,13.63
2021-08-17 21:39:41 UTC,35,,,13.61
2021-08-17 21:39:59 UTC,36,,,13.56
2021-08-17 21:40:17 UTC,37,,,13.61
2021-08-17 21:40:36 UTC,38,,,13.57
2021-08-17 21:40:54 UTC,39,,,13.62
2021-08-17 21:41:13 UTC,40,,,13.58
2021-08-17 21:41:31 UTC,41,,,13.63
2021-08-17 21:41:49 UTC,42,,,13.63
2021-08-17 21:42:08 UTC,43,,,13.6
2021-08-17 21:42:27 UTC,44,,,13.63
2021-08-17 21:42:45 UTC,45,,,13.34
